,no,co,cl,hh,ha,hs,he,ci,cw,re,la,u1,u2,u3,le,sa,mw,pr,on,ra,h,si,nx,rp,f,hf,vu,fa,sp
2026,22.015,22,015,0,0,0,0,0,0,0,0,3,0,0,U,[''],[''],[],,0.0,0.0,0.0,1,0,0,0,3.0,1,0
2027,22.016,22,016,0,0,0,0,0,0,0,0,1,0,0,U,[''],[''],[],,0.0,0.0,0.0,0,0,0,0,1.0,1,0
2028,22.017,22,017,0,0,0,0,0,0,0,0,1,0,1,U,[''],[''],[],,0.0,0.0,0.0,0,0,0,0,2.0,1,0
2029,22.022,22,022,0,0,0,0,0,0,0,0,3,0,9,U,[''],"['8.751', ' 22.51']","[['8.04', '22.02']]",,6.75,9.1,0.0,0,0,0,0,12.0,0,1
2030,22.03,22,03,0,0,0,0,0,0,0,0,2,2,2,U,['3.0061'],[''],[],,4.9,6.9,6.3,0,0,0,0,6.0,1,0
2031,22.033,22,033,0,0,0,0,0,0,0,0,3,0,12,U,[''],['22.33'],[],,6.1,16.0,7.7,0,0,0,0,15.0,1,0
2032,22.039,22,039,0,0,0,0,0,0,0,0,3,2,7,U,[''],['22.39'],"[['22.05'], ['22.06']]",,6.1,11.9,7.3,0,0,0,0,12.0,1,0
2033,22.04,22,04,0,0,1,0,0,0,0,0,3,0,9,U,['STS.084'],[''],[],,6.35,8.95,23.5,0,0,0,0,12.0,0,1
2034,22.05,22,05,0,0,0,0,0,0,0,0,5,0,7,U,[''],[''],"[['18.03'], ['22.01'], ['1.000'], ['2.086'], ['6.100B'], ['12.010']]",,5.9,13.7,5.7,0,0,1,0,12.0,1,0
2035,22.06,22,06,0,0,0,0,0,0,0,0,4,0,8,U,[''],[''],[['2.005']],,5.65,11.02,10.0,0,0,0,0,12.0,0,1
2036,22.061,22,061,0,0,0,0,0,0,0,0,4,1,7,U,[''],[''],[['22.01']],,0.0,0.0,0.0,0,0,0,0,12.0,0,1
2037,22.071,22,071,0,0,0,0,0,0,1,0,3,3,6,U,[''],[''],[['18.03']],,5.35,12.28,15.0,0,0,0,0,12.0,0,1
2038,22.074,22,074,0,0,0,0,0,0,0,0,3,0,9,U,[''],"['3.31', ' 22.74']",[],,5.8,8.4,8.0,1,0,1,0,12.0,1,0
2039,22.078,22,078,0,0,0,0,0,0,0,0,3,0,9,U,[''],['22.78'],[],,0.0,0.0,0.0,0,0,0,0,12.0,1,0
2040,22.081,22,081,0,0,0,0,0,0,0,0,3,1,8,U,"['2.650', ' 10.291']","['1.818', ' 2.65', ' 10.391', ' 11.371', ' 22.811']",[],,4.8,8.5,51.3,0,0,0,0,12.0,1,0
2041,22.09,22,09,0,0,0,0,0,0,0,1,1,5,9,U,[''],['22.90'],[['22.01']],,5.4,14.1,9.0,0,0,0,0,15.0,1,0
2042,22.091,22,091,0,0,0,0,0,0,0,0,0,0,0,U,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
2043,22.093,22,093,0,0,0,0,0,0,0,0,0,0,0,U,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
2044,22.099,22,099,0,0,0,0,0,0,0,0,0,0,0,U,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
2045,22.11,22,11,0,0,0,0,0,0,0,0,2,0,4,G,[''],[''],[['22.02']],,6.0,15.3,19.0,0,1,0,1,6.0,1,0
2046,22.12,22,12,0,0,0,0,0,0,0,0,2,0,4,G,[''],[''],[['8.02']],,5.9,9.6,20.7,0,1,0,1,6.0,1,0
2047,22.13,22,13,0,0,0,0,0,0,0,0,2,0,4,G,[''],[''],"[['2.005'], ['22.01']]",,6.3,13.1,19.5,0,1,0,2,6.0,1,0
2048,22.14,22,14,0,0,0,0,0,0,0,0,2,0,4,G,[''],[''],"[['3.091', '5.111', '5.112']]",,4.62,11.64,25.0,0,1,0,2,6.0,0,1
2049,22.15,22,15,0,0,0,0,0,0,0,0,2,0,4,G,[''],[''],[['12.010']],,5.38,14.170000000000002,25.0,0,1,0,1,6.0,0,1
2050,22.16,22,16,0,0,0,0,0,0,0,0,2,0,4,G,[''],[''],[['22.01']],,5.65,12.23,20.5,0,1,0,0,6.0,0,1
2051,22.211,22,211,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[['22.05']],,6.03,18.33,11.75,0,0,0,0,12.0,0,1
2052,22.312,22,312,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],"[['2.001'], ['2.005']]",,6.3,15.0,11.0,0,0,1,0,12.0,1,0
2053,22.313,22,313,0,0,0,0,0,0,0,0,3,2,7,G,"['2.59', ' 10.536']",[''],"[['2.006'], ['10.302'], ['22.312']]",,6.7,14.1,5.0,1,0,0,0,12.0,1,0
2054,22.315,22,315,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[],,6.4,14.44,8.67,0,0,0,0,12.0,0,1
2055,22.33,22,33,0,0,0,0,0,0,0,0,3,0,15,G,[''],['22.033'],[['22.312']],,6.1,16.0,7.7,0,0,0,0,18.0,1,0
2056,22.39,22,39,0,0,0,0,0,0,0,0,3,2,7,G,[''],['22.039'],"[['22.211'], ['22.312']]",,6.1,11.9,7.3,0,0,0,0,12.0,1,0
2057,22.40,22,40,0,0,0,0,0,0,0,0,4,0,8,G,"['2.62', ' 10.392']","['2.60', ' 10.390']","[['2.006'], ['2.051'], ['2.06']]",,5.95,12.6,17.0,0,0,0,0,12.0,0,1
2058,22.51,22,51,0,0,0,0,0,0,0,0,3,0,9,G,['8.751'],['22.022'],[['22.11']],,6.75,9.1,3.5,0,0,0,0,12.0,0,1
2059,22.561,22,561,0,0,0,0,0,0,0,0,3,0,12,G,['HST.584'],[''],[],,7.0,6.5,2.0,1,0,0,0,15.0,0,1
2060,22.611,22,611,0,0,0,0,0,0,0,0,3,0,9,G,['8.613'],[''],"[['6.2300'], ['8.07'], ['18.04'], ['18.075']]",,5.7,11.4,14.7,0,0,1,0,12.0,1,0
2061,22.62,22,62,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[['22.611']],,6.1,13.07,6.25,0,0,0,0,12.0,0,1
2062,22.63,22,63,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[],,6.3,11.5,15.0,1,0,0,0,12.0,1,0
2063,22.64,22,64,0,0,0,0,0,0,0,0,3,0,9,G,['16.55'],[''],[['8.02']],,6.5,10.2,9.0,0,0,0,0,12.0,1,0
2064,22.71,22,71,0,0,0,0,0,0,0,0,3,0,9,G,['3.40'],['3.14'],"[['3.013'], ['3.030']]",,5.8,8.3,12.0,0,0,0,0,12.0,0,1
2065,22.73,22,73,0,0,0,0,0,0,0,0,3,0,9,G,['3.33'],[''],"[['3.21'], ['3.22']]",,6.8,11.2,7.0,1,0,0,0,12.0,1,0
2066,22.74,22,74,0,0,0,0,0,0,0,0,3,0,9,G,['3.31'],['22.074'],"[['3.21'], ['22.14']]",,5.8,8.4,8.0,1,0,1,0,12.0,1,0
2067,22.75,22,75,0,0,0,0,0,0,0,0,3,0,9,G,['3.30'],[''],"[['3.20', '3.21']]",,5.8,9.55,7.0,0,0,1,0,12.0,0,1
2068,22.78,22,78,0,0,0,0,0,0,0,0,3,0,9,G,[''],['22.078'],[],,0.0,0.0,0.0,0,0,0,0,12.0,1,0
2069,22.811,22,811,0,0,0,0,0,0,0,0,3,1,8,G,"['1.818', ' 2.65', ' 10.391', ' 11.371']","['2.650', ' 10.291', ' 22.081']",[],,4.8,8.5,51.3,0,0,0,0,12.0,1,0
2070,22.90,22,90,0,0,0,0,0,0,0,0,1,5,9,G,[''],['22.09'],[],,5.4,14.1,9.0,0,0,0,0,15.0,1,0
2071,22.901,22,901,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
2072,22.911,22,911,0,0,0,0,0,0,0,0,2,0,1,G,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,3.0,1,1
2073,22.93,22,93,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
2074,22.94,22,94,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
2075,22.EPE,22,EPE,0,0,0,0,0,0,0,0,0,0,1,U,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,1.0,1,1
2076,22.EPW,22,EPW,0,0,0,0,0,0,0,0,1,0,0,U,[''],[''],[['2.EPE']],,0.0,0.0,0.0,0,0,0,0,1.0,1,0
2077,22.S093,22,S093,0,0,0,0,0,0,0,0,0,0,0,U,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,0
2078,22.S094,22,S094,0,0,0,0,0,0,0,0,0,0,0,U,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,0,1
2079,22.S095,22,S095,0,0,0,0,0,0,0,0,0,0,0,U,[''],[''],[],,0.0,0.0,0.0,1,1,0,0,0.0,0,1
