,no,co,cl,hh,ha,hs,he,ci,cw,re,la,u1,u2,u3,le,sa,mw,pr,on,ra,h,si,nx,rp,f,hf,vu,fa,sp
2113,24.292,24,292,0,0,0,0,0,0,0,0,0,0,0,U,[''],[''],[],,0.0,0.0,0.0,0,0,0,0,0.0,1,0
2114,24.400,24,400,0,0,0,0,0,0,0,0,6,0,18,G,[''],[''],[],,6.9,11.3,5.0,0,0,0,0,24.0,1,0
2115,24.401,24,401,0,0,0,0,0,0,0,0,6,0,18,G,[''],[''],[],,0.0,0.0,0.0,0,0,0,0,24.0,0,1
2116,24.501,24,501,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,12.0,0,1
2117,24.601,24,601,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[],,4.5,7.0,5.5,0,0,0,0,12.0,1,0
2118,24.611,24,611,0,0,0,0,0,0,0,0,3,0,9,G,['17.000'],[''],[],,6.5,9.83,10.0,1,1,0,0,12.0,1,1
2119,24.634,24,634,0,0,0,0,0,0,0,0,3,0,9,G,[''],['24.234'],[],,2.0,6.5,3.0,0,0,0,0,12.0,1,0
2120,24.637,24,637,0,0,0,0,0,0,0,0,3,0,9,G,['17.006'],"['17.007', ' 24.237', ' WGS.301']",[],,6.3,8.370000000000001,20.0,0,0,0,0,12.0,0,1
2121,24.729,24,729,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,12.0,1,1
2122,24.805,24,805,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,12.0,1,1
2123,24.891,24,891,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
2124,24.892,24,892,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
2125,24.893,24,893,0,0,0,0,0,0,0,0,2,0,1,G,[''],[''],[],,7.0,4.0,7.0,0,0,0,0,3.0,1,1
2126,24.894,24,894,0,0,0,0,0,0,0,0,2,0,1,G,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,3.0,1,1
2127,24.900,24,900,0,0,1,0,1,0,0,0,4,0,8,U,[''],[''],[],,5.73,8.33,64.86,0,0,0,0,12.0,1,1
2128,24.901,24,901,0,0,1,0,0,0,0,0,3,0,9,U,[''],['24.931'],"[['24.900'], ['24.9000']]",,6.2,6.9,21.0,0,0,1,0,12.0,1,0
2129,24.902,24,902,0,0,1,0,0,0,0,0,3,0,9,U,[''],['24.932'],"[['24.900', '24.9000']]",,6.07,7.56,22.0,0,0,1,0,12.0,1,1
2130,24.903,24,903,0,0,1,0,0,0,0,0,3,0,9,U,[''],['24.933'],"[['24.900', '24.9000']]",,5.67,6.02,22.5,0,0,1,0,12.0,0,1
