no,c1,c2,ch,bio,p1,p2,p-64,f-64,m2-64,m3-64,dac-64,moc-64,dec-64,coc-64,huc-64,cim-64,cim2-64,serc,aus,eecs
3.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HST.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.S95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21L.433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.3730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.S02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCM.284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.C01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDS.060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS.400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21L.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.S950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15.762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC.988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDS.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21L.620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.1200,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
15.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21H.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HST.200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMS.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21H.S01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21W.757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21W.788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.S997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HST.918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.S097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.S22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.S964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.662A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21L.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.S95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.9001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21W.771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.S987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES.S602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.S34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HST.020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HST.080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21H.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21L.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.3000,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
4.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21W.826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21H.358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21A.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
16.S948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21L.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.S64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15.473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.S990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STS.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.6510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.C35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES.010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WGS.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAS.864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.4842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HST.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMS.358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.7230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21H.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.7260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC.8022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.4531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HST.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAS.600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HST.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21L.486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.3541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21H.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.910B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18.6501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21G.S86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.6340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMS.S97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.S978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDS.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.S492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.S09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.1411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21A.130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.6420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.S12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.7231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.7720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.9120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.S969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.S094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STS.424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC.720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.UAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2.183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.S596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.S06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21W.777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.S372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDS.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STS.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.UAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.S13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21W.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.S917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
