,no,hh,ha,hs,he,ci,cw,re,la,u1,u2,u3,le,mw,sa,pr,ra,h,co_1,co_10,co_11,co_12,co_14,co_15,co_16,co_17,co_18,co_2,co_20,co_21,co_21A,co_21G,co_21H,co_21L,co_21M,co_21W,co_22,co_24,co_3,co_4,co_5,co_6,co_7,co_8,co_9,co_AS,co_CC,co_CDO,co_CMS,co_CSB,co_CSE,co_EC,co_EM,co_ES,co_ESD,co_HST,co_IDS,co_MAS,co_MS,co_NS,co_OR,co_RED,co_SCM,co_SDM,co_SP,co_STS,co_WGS,has_pr,avg_pr_ra,max_pr_ra,avg_pr_h,max_pr_h
1557,21.UR,0,0,0,0,0,0,0,0,0,0,0,0,[''],[''],[],5.955431085757675,7.693114777268903,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1558,21.URG,0,0,0,0,0,0,0,0,0,0,0,0,[''],[''],[],5.955431085757675,7.693114777268903,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1559,21A.00,0,0,1,0,0,0,0,0,3,0,9,0,[''],[''],[],6.6,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1560,21A.103,0,0,1,0,0,0,0,0,3,0,9,0,[''],"['STS.046', ' WGS.225']",[],6.4,9.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1561,21A.120,0,0,1,0,0,0,0,0,3,0,9,0,[''],[''],[],6.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1562,21A.127,0,0,1,0,0,0,0,0,3,0,9,0,['21A.129'],"['11.045', ' 15.302', ' 17.045']",[],6.302759226974879,8.775574531600673,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1563,21A.129,0,0,0,0,0,0,0,0,3,0,9,1,"['11.045', ' 15.302', ' 17.045', ' 21A.127']",[''],[],6.251830125554391,10.70710573612686,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1564,21A.130,0,0,1,0,1,0,0,0,3,0,9,0,['21G.784'],"['17.55', ' 21G.084', ' 21H.170']",[],5.23,9.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1565,21A.131,1,0,0,0,0,0,0,0,3,0,9,0,[''],['21H.270'],[],6.397400817470485,8.818141474999065,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1566,21A.155,0,0,1,0,0,0,0,0,3,0,9,0,[''],[''],[],6.6,7.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
